
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.672
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.673
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-5.1236615508 	0.8286497145 	0.1905512487 	0.1905512182 	0.1905511039
	-5.0986092520 	0.7580357837 	0.1743132989 	0.1743132831 	0.1743131536
	-5.0735569532 	0.6817831009 	0.1567786959 	0.1567786926 	0.1567785537
	-5.0485046544 	0.6028934425 	0.1386377100 	0.1386377167 	0.1386375740
	-5.0234523556 	0.5241706392 	0.1205350930 	0.1205351072 	0.1205349659
	-4.9984000568 	0.4480666541 	0.1030346835 	0.1030347028 	0.1030345672
	-4.9733477579 	0.3765740250 	0.0865946733 	0.0865946955 	0.0865945692
	-4.9482954591 	0.3111686956 	0.0715544615 	0.0715544848 	0.0715543702
	-4.9232431603 	0.2528012640 	0.0581326419 	0.0581326648 	0.0581325634
	-4.8981908615 	0.2019297863 	0.0464345462 	0.0464345677 	0.0464344801
	-4.8731385627 	0.1585839872 	0.0364670098 	0.0364670292 	0.0364669551
	-4.8480862638 	0.1224492369 	0.0281576823 	0.0281576993 	0.0281576380
	-4.8230339650 	0.0929588272 	0.0213762469 	0.0213762613 	0.0213762118
	-4.7979816662 	0.0693845845 	0.0159552574 	0.0159552692 	0.0159552299
	-4.7729293674 	0.0509182126 	0.0117088427 	0.0117088522 	0.0117088217
	-4.7478770686 	0.0367384738 	0.0084481562 	0.0084481636 	0.0084481404
	-4.7228247698 	0.0260619481 	0.0059930472 	0.0059930529 	0.0059930356
	-4.6977724709 	0.0181773447 	0.0041799517 	0.0041799560 	0.0041799433
	-4.6727201721 	0.0124649865 	0.0028663726 	0.0028663757 	0.0028663666
	-4.6476678733 	0.0084040956 	0.0019325548 	0.0019325570 	0.0019325506
	-4.6226155745 	0.0055709333 	0.0012810580 	0.0012810596 	0.0012810551
	-4.5975632757 	0.0036308034 	0.0008349175 	0.0008349186 	0.0008349156
	-4.5725109769 	0.0023265657 	0.0005350029 	0.0005350036 	0.0005350016
	-4.5474586780 	0.0014657696 	0.0003370595 	0.0003370600 	0.0003370586
	-4.5224063792 	0.0009079332 	0.0002087828 	0.0002087831 	0.0002087823
	-4.4973540804 	0.0005529424 	0.0001271513 	0.0001271515 	0.0001271509
	-4.4723017816 	0.0003310882 	0.0000761350 	0.0000761352 	0.0000761348
	-4.4472494828 	0.0001949150 	0.0000448215 	0.0000448215 	0.0000448213
	-4.4221971839 	0.0001128196 	0.0000259433 	0.0000259434 	0.0000259432
