Energy(eV)   DOS_up   DOS_down   DOS_tot
-1.3157121306 0.0000000034 0.0000000034 0.0000000067
-1.2906598317 0.0000000060 0.0000000060 0.0000000120
-1.2656075329 0.0000000125 0.0000000125 0.0000000250
-1.2405552341 0.0000000266 0.0000000266 0.0000000532
-1.2155029353 0.0000000560 0.0000000560 0.0000001120
-1.1904506365 0.0000001160 0.0000001160 0.0000002320
-1.1653983376 0.0000002364 0.0000002365 0.0000004729
-1.1403460388 0.0000004738 0.0000004738 0.0000009476
-1.1152937400 0.0000009335 0.0000009335 0.0000018670
-1.0902414412 0.0000018083 0.0000018083 0.0000036166
-1.0651891424 0.0000034439 0.0000034440 0.0000068879
-1.0401368436 0.0000064488 0.0000064491 0.0000128978
-1.0150845447 0.0000118726 0.0000118730 0.0000237456
-0.9900322459 0.0000214906 0.0000214914 0.0000429821
-0.9649799471 0.0000382464 0.0000382478 0.0000764943
-0.9399276483 0.0000669223 0.0000669246 0.0001338469
-0.9148753495 0.0001151300 0.0001151339 0.0002302638
-0.8898230507 0.0001947349 0.0001947413 0.0003894761
-0.8647707518 0.0003238449 0.0003238551 0.0006477000
-0.8397184530 0.0005295026 0.0005295189 0.0010590215
-0.8146661542 0.0008512109 0.0008512361 0.0017024470
-0.7896138554 0.0013453776 0.0013454159 0.0026907935
-0.7645615566 0.0020906879 0.0020907453 0.0041814332
-0.7395092577 0.0031942755 0.0031943597 0.0063886351
-0.7144569589 0.0047983706 0.0047984919 0.0095968625
-0.6894046601 0.0070868571 0.0070870287 0.0141738858
-0.6643523613 0.0102908757 0.0102911138 0.0205819894
-0.6393000625 0.0146923129 0.0146926371 0.0293849500
-0.6142477637 0.0206237579 0.0206241908 0.0412479487
-0.5891954648 0.0284633559 0.0284639226 0.0569272785
-0.5641431660 0.0386230288 0.0386237564 0.0772467852
-0.5390908672 0.0515288312 0.0515297465 0.1030585777
-0.5140385684 0.0675928255 0.0675939534 0.1351867789
-0.4889862696 0.0871768170 0.0871781782 0.1743549953
-0.4639339708 0.1105495333 0.1105511409 0.2211006742
-0.4388816719 0.1378402611 0.1378421179 0.2756823791
-0.4138293731 0.1689933853 0.1689954812 0.3379888665
-0.3887770743 0.2037294645 0.2037317742 0.4074612386
-0.3637247755 0.2415191690 0.2415216509 0.4830408199
-0.3386724767 0.2815763569 0.2815789537 0.5631553105
-0.3136201778 0.3228756005 0.3228782409 0.6457538414
-0.2885678790 0.3641975565 0.3642001592 0.7283977157
